sample_name,diseased_area,leaf_area,diseased_percent
1-10-1,183037,342307,57.06653442416954
1-10-2,167575,250971,67.65229830870311
1-9-2,159028,298975,52.57435366189318
2-1-2,119628,458804,25.570985717140644
2-2-2,39733,715137,6.564207004289331
2-3-2,44451,490973,9.813941444495528
2-4-2,52906,509167,10.238723986148887
2-6-2,60716,572141,11.019825875428934
2-7-2,227210,475053,49.37155296827178
4-9-1,98104,419599,25.625236173879866
